Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1
"Lau, Gordon J. Lau Elementary / Preschool",SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS061,3,10,PS,38684786040877,"950 CLAY ST, San Francisco, CA 94108",3,06075,SAN FRANCISCO,POINT (-122.408806 37.794399)
Saint Ignatius College Preparatory,Private,9,12,9-12,Independent / Private,IND296,14,17,IND,38684786939722,"2001 37TH AVE, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,POINT (-122.495819 37.748863)
Economic Opportunity Council Sf - Western Addition Childcare,Private,-2,-1,PK,Independent / Private,CDC034,3,4,CDC,380504379,"1455 GOLDEN GATE AVE, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,POINT (-122.434433 37.778938)
Haight Ashbury Community Nursery School,Private,-2,-1,PK,Independent / Private,CDC050,3,4,CDC,380500254,"1180 STANYAN ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,POINT (-122.451889 37.762451)
Convent Of The Sacred Heart Elementary School,Private,0,8,K-8,Independent / Private,IND230,5,13,IND,38684786981138,"2222 BROADWAY ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,POINT (-122.433876 37.794689)
Hilltop Child Development Center,Private,-2,-1,PK,Independent / Private,CDC053,3,4,CDC,384002329,"2728 BRYANT ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,POINT (-122.409149 37.750465)
Visitacion Valley Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS119,11,13,PS,38684786059919,"450 RAYMOND AVE, San Francisco, CA 94134",10,06075,SAN FRANCISCO,POINT (-122.412079 37.715744)
Bryant Early Education / Bryant Elementary,SFUSD,-2,5,PK-5,"USD PreK-5, Grades K-5",PS009,3,10,PS,38684786040778,"2641 25TH ST, San Francisco, CA 94110",10,06075,SAN FRANCISCO,POINT (-122.404694 37.751453)
"Giannini, A.P. Giannini Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS039,11,13,PS,38684786059828,"3151 ORTEGA ST, San Francisco, CA 94116",4,06075,SAN FRANCISCO,POINT (-122.496666 37.750301)
Economic Opportunity Council Sf - Martin Luther King Childcare,Private,-2,-1,PK,Independent / Private,CDC029,3,4,CDC,380504362,"200 CASHMERE ST, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,POINT (-122.386047 37.737042)
Malcolm X Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS070,5,10,PS,38684786041586,"350 HARBOR RD, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,POINT (-122.380966 37.734238)
Sheridan Elementary School / Preschool,SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS105,3,10,PS,38684786041560,"431 CAPITOL AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,POINT (-122.459633 37.714478)
"Hearst, Phoebe Apperson Hearst Home",SFUSD,9,12,9-12,USD Grades 9-12,PS045,14,17,PS,38684786041495,"3045 SANTIAGO ST, SAN FRANCISCO 94116",4,06075,SAN FRANCISCO,POINT (-122.500053 37.74363)
Wu Yee Child Development Center - Potrero Hill,Private,-2,-1,PK,Independent / Private,CDC165,3,4,CDC,384002515,"824 CAROLINA ST, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,POINT (-122.400314 37.758236)
Hilltop High Special Services Center,SFUSD,8,12,8-12,USD County School,PS047,13,17,PS,38684783830080,"1325 FLORIDA ST, SAN FRANCISCO CA 94110",9,06075,SAN FRANCISCO,POINT (-122.40963 37.750454)
Kai Ming Head Start - North Beach Center,Private,-2,-1,PK,Independent / Private,CDC061,3,4,CDC,384001489,"1188 COLUMBUS AVE, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,POINT (-122.41642 37.804852)
Marin Day School - Congregation Sherith Israel,Private,-2,-1,PK,Independent / Private,CDC087,3,4,CDC,384001298,"2664 CALIFORNIA ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,POINT (-122.438248 37.788647)
"Carmichael, Bessie Carmichael (6-8 Campus)",SFUSD,6,8,6-8,USD Grades 6-8,PS012,11,13,PS,38684786040752,"824 HARRISON ST, San Francisco, CA 94107",6,06075,SAN FRANCISCO,POINT (-122.40049 37.78056)
Marin Day School - Spear St,Private,-2,-1,PK,Independent / Private,CDC092,3,4,CDC,384001294,"101 HOWARD ST, SAN FRANCISCO, CA 94105",6,06075,SAN FRANCISCO,POINT (-122.392525 37.790878)
Mission Neighborhood Centers - Alemany Head Start,Private,-2,-1,PK,Independent / Private,CDC098,3,4,CDC,,"956 ELLSWORTH ST, SAN FRANCISCO, CA 94112",9,06075,SAN FRANCISCO,POINT (-122.417885 37.733013)
Jefferson Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS051,5,10,PS,38684786041230,"1725 IRVING ST, San Francisco, CA 94122",4,06075,SAN FRANCISCO,POINT (-122.47673 37.763065)
Fusion Academy San Francisco,Private,6,12,6-12,Independent / Private,IND244,11,17,IND,38684786143440,"535 PACIFIC AVE FL 3, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,POINT (-122.404182 37.797028)
Argonne Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS005,5,10,PS,38684786040737,"680 18TH AVE, San Francisco, CA 94121",1,06075,SAN FRANCISCO,POINT (-122.476311 37.775307)
Little Angels Japanese Preschool,Private,-2,0,PK,Independent / Private,IND265,2,5,IND,384000322,"1457 09TH AVE, SAN FRANCISCO, CA 94122",7,06075,SAN FRANCISCO,POINT (-122.466431 37.761131)
Bright Horizons - Pacific Gas And Electric,Private,-2,4,PK-K,Independent / Private,IND221,6,10,IND,380506487,"77 BEALE ST, SAN FRANCISCO, CA 94105",6,06075,SAN FRANCISCO,POINT (-122.395592 37.791763)
"Moscone, George Moscone Elementary / Las Americas Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS082,3,10,PS,38684786099154,"2576 HARRISON ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,POINT (-122.41262 37.756741)
Sherman Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS106,5,10,PS,38684786041578,"1651 UNION ST, San Francisco, CA 94123",2,06075,SAN FRANCISCO,POINT (-122.426117 37.797802)
Kipp Bayview Academy,SFUSD,5,8,5-8,USD Charter School,PS057,10,13,PS,38684780101337,"1060 KEY AVE, SAN FRANCISCO CA 94124",10,06075,SAN FRANCISCO,POINT (-122.396561 37.719532)
